Event,Room,Category,Color,TimeSlot,Utility
Lunchtime!,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['11:00', '11:15', '11:30', '11:45']",5.0
Mada Mada Dane! 70 Years of Sports Manga and Anime,"('Hynes', 'Panel 309')",Sports,#CCFFCC,"['09:00', '09:15', '09:30', '09:45']",4.0
Magic Knights at the Mic: Asta and Noelle of Black Clover English VA Q&A,"('Sheraton', 'Panel Constitution B')",Panel,#72B7ED,"['15:00', '15:15', '15:30', '15:45']",6.0
Maid Cafe Live Show,"('Hynes', 'Events 302')",Family Friendly,#A64FF7,"['20:30', '20:45', '21:00', '21:15']",5.0
Majik Mystery PIN BRAWL!,"('Sheraton', 'Workshop Fairfax')",Workshop,#F7931E,"['19:30', '19:45', '20:00', '20:15', '20:30', '20:45', '21:00', '21:15']",5.0
Make a Visual Novel! Intro to Renpy,"('Hynes', 'Panel 202')",Fan Content,#FF69B4,"['16:30', '16:45', '17:00', '17:15']",5.0
Making Video Games in 2025,"('Sheraton', 'Panel Constitution A')",Gaming,#FFCC00,"['22:00', '22:15', '22:30', '22:45']",6.0
Masquerade,"('Hynes', 'Memorial Auditorium')",Cosplay,#CC99FF,"['17:00', '17:15', '17:30', '17:45', '18:00', '18:15', '18:30', '18:45', '19:00', '19:15', '19:30', '19:45']",5.0
Moving Pictures: Manga Music Videos,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['15:45', '16:00', '16:15', '16:30']",4.0
My Hero Academia Gathering,"('Hynes', 'Ballroom A')",Social Gatherings,#FF3366,"['13:30', '13:45', '14:00', '14:15']",5.0
"New Genesis, New Century: the untold story of Evangelion","('Sheraton', 'Panel Constitution A')",Panel,#72B7ED,"['17:30', '17:45', '18:00', '18:15']",6.0
Objection! A Celebration of Ace Attorney / Phoenix Wright,"('Hynes', 'Panel 207')",Guest Content,#00FF00,"['14:00', '14:15', '14:30', '14:45']",5.0
On Anime and AI: A Discussion with Hirokatsu Kihara,"('Sheraton', 'Grand Ballroom')",Guest Content,#00FF00,"['17:30', '17:45', '18:00', '18:15']",5.0
One Piece Gathering,"('Hynes', 'Ballroom A')",Social Gatherings,#FF3366,"['12:30', '12:45', '13:00', '13:15']",5.0
Otakus Unite!: Anime Club Starter Kit,"('Sheraton', 'Panel Gardner')",Fan Content,#FF69B4,"['15:30', '15:45', '16:00', '16:15']",5.0
Plus Size Lolita Fashion,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['18:00', '18:15', '18:30', '18:45']",6.0
Pokémon trainer academy,"('Hynes', 'Panel 310')",Fan Content,#FF69B4,"['15:30', '15:45', '16:00', '16:15', '16:30', '16:45']",5.0
Post-War Japanese Literature and the Global West,"('Hynes', 'Panel 202')",History,#CCFFCC,"['10:30', '10:45', '11:00', '11:15']",5.0
Q & A With Kana Ichinose,"('Sheraton', 'Panel Constitution A')",Guest Content,#00FF00,"['14:30', '14:45', '15:00', '15:15']",5.0
Ramen: A History and Deep Dive,"('Sheraton', 'Panel Constitution B')",History,#CCFFCC,"['09:00', '09:15', '09:30', '09:45']",5.0
Rebuilding the Millennium Puzzle: Yu-Gi-Oh Duel Monsters History,"('Hynes', 'Panel 310')",Gaming,#FFCC00,"['12:30', '12:45', '13:00', '13:15']",6.0
Remembering Akira Toriyama,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['17:45', '18:00']",5.0
Reol Q&A,"('Sheraton', 'Panel Constitution B')",Guest Content,#00FF00,"['13:30', '13:45', '14:00', '14:15']",5.0
Saturday Evening Fan Parodies,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['18:15', '18:30', '18:45', '19:00']",5.0
Sketchbook Swap,"('Sheraton', 'Workshop Fairfax')",Social Event|Workshop,#F7931E,"['22:00', '22:15', '22:30', '22:45']",
Slumber Party,"('Hynes', 'Ballroom A')",Family Friendly,#A64FF7,"['23:00', '23:15', '23:30', '23:45', '00:00', '00:15', '00:30', '00:45', '01:00', '01:15']",5.0
"Straight? Yaoi? Yuri? I See No Difference, Ships Are Ships!","('Hynes', 'Panel 310')",Panel,#72B7ED,"['22:00', '22:15', '22:30', '22:45']",6.0
Sustainability in Cosplay,"('Hynes', 'Panel 309')",Fan Content,#FF69B4,"['15:00', '15:15', '15:30', '15:45']",5.0
Swap Meet,"('Hynes', 'Ballroom A')",Activity,#F7931E,"['19:30', '19:45', '20:00', '20:15', '20:30', '20:45', '21:00', '21:15']",5.0
Taiko Drum Concert,"('Sheraton', 'Grand Ballroom')",Concert,#AFE1F1,"['15:30', '15:45', '16:00', '16:15']",7.0
"The Cosmic Horror of Games, Anime, & Manga","('Hynes', 'Panel 207')",Panel,#72B7ED,"['18:30', '18:45', '19:00', '19:15']",6.0
The Female Gaze in Anime,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['21:00', '21:15', '21:30', '21:45']",6.0
The Heretic Artists of Great Japan: A History of Visual Kei,"('Sheraton', 'Panel Gardner')",History,#CCFFCC,"['20:00', '20:15', '20:30', '20:45']",5.0
The Insomniac's Guide to Vampire Anime,"('Hynes', 'Panel 208')",Fan Content,#FF69B4,"['11:30', '11:45', '12:00', '12:15']",5.0
The Power of Music in Liz & The Blue Bird,"('Hynes', 'Panel 202')",Anime,#FFFF00,"['09:00', '09:15', '09:30', '09:45']",4.0
The Reversal of Male Archetypes in Anime,"('Hynes', 'Panel 207')",Fan Content,#FF69B4,"['20:00', '20:15', '20:30', '20:45']",5.0
The Weakest Weeb (Weakest Link Parody Game),"('Hynes', 'Panel 309')",Fan Content,#FF69B4,"['10:30', '10:45', '11:00', '11:15']",5.0
The Wonderful World of Puss & Boots,"('Hynes', 'Video 210')",Video,#66A3D2,"['08:00', '08:15', '08:30', '08:45', '09:00', '09:15', '09:30', '09:45']",4.0
Three Ways of Looking at a Heron: A Miyazaki Analysis,"('Sheraton', 'Panel Constitution B')",Panel,#72B7ED,"['18:00', '18:15', '18:30', '18:45']",6.0
Twenty-Five Years Of,"('Sheraton', 'Grand Ballroom')",Panel,#72B7ED,"['21:30', '21:45', '22:00', '22:15', '22:30', '22:45', '23:00', '23:15', '23:30', '23:45']",6.0
Voices of Mashle,"('Sheraton', 'Panel Constitution B')",Guest Content,#00FF00,"['12:00', '12:15', '12:30', '12:45']",5.0
What's that Anime Sound? A Look Into the Music Theory of J-pop,"('Sheraton', 'Panel Constitution A')",Panel,#72B7ED,"['10:00', '10:15', '10:30', '10:45']",6.0
Your Favorite Anime Didn’t Make Itself: The Process Explained,"('Hynes', 'Panel 310')",Fan Content,#FF69B4,"['20:30', '20:45', '21:00', '21:15']",5.0
Yuriko Yamaguchi Q & A,"('Sheraton', 'Panel Constitution A')",Panel,#72B7ED,"['13:00', '13:15', '13:30', '13:45']",6.0
hololive Meet SUPER KARAOKE PARTY,"('Hynes', 'Ballroom B')",Stage Show,#AFE1F1,"['18:00', '18:15', '18:30', '18:45', '19:00', '19:15']",6.0
