Event,Room,Utility_JW,Category,Color,TimeSlot
Euphoria at 10: A Player's Journey Into The White Room ,"('Hynes', 'Panel 309')",3.0,Fan Content,#FF69B4,"['00:30', '00:45', '01:00', '01:15']"
Fact or Fiction: Historical Accuracy in Anime,"('Sheraton', 'Panel Republic')",4.5,Panel,#72B7ED,"['20:30', '20:45', '21:00', '21:15']"
Family Feud,"('Hynes', 'Events 302')",8.0,Gameshow,#72B7ED,"['15:30', '15:45', '16:00', '16:15']"
Fantasy Never Dies: Metaphor ReFantazio in Forsaken Times,"('Hynes', 'Panel 202')",3.0,Fan Content,#FF69B4,"['13:30', '13:45', '14:00', '14:15']"
Food and Friendship: Cooking Through the World of Persona,"('Hynes', 'Panel 310')",6.0,Food,#FFCCFF,"['09:30', '09:45', '10:00', '10:15']"
Frills and Bills: A Lolita Shopping Guide,"('Hynes', 'Panel 202')",2.0,Panel,#72B7ED,"['15:00', '15:15', '15:30', '15:45']"
Fruits Basket and the Inevitability of Love,"('Hynes', 'Panel 207')",4.0,Panel,#72B7ED,"['11:00', '11:15', '11:30', '11:45']"
GaoGaiGar: The King of Braves ,"('Hynes', 'Video 210')",2.0,Video,#66A3D2,"['20:00', '20:15', '20:30', '20:45', '21:00', '21:15', '21:30', '21:45']"
Genshin Impact Gathering,"('Hynes', 'Ballroom A')",2.0,Social Gatherings,#FF3366,"['14:30', '14:45', '15:00', '15:15']"
Getter Robo Armageddon,"('Hynes', 'Video 210')",2.0,Video,#66A3D2,"['18:00', '18:15', '18:30', '18:45', '19:00', '19:15', '19:30', '19:45']"
Ghost Stories: Ghosts Beyond the Infamous Dub,"('Sheraton', 'Panel Constitution A')",2.0,Fan Content,#FF69B4,"['16:00', '16:15', '16:30', '16:45']"
Going All Out with the Cast of Dandadan,"('Sheraton', 'Panel Republic')",9.0,Guest Content,#00FF00,"['15:30', '15:45', '16:00', '16:15']"
Greg Ayres – Raw & Uncensored (18+),"('Hynes', 'Ballroom B')",2.0,After Dark,#F44336,"['20:00', '20:15', '20:30', '20:45']"
Gundam Building - Beginner,"('Sheraton', 'Panel Gardner')",4.0,Arts and Crafting|Partner Content|Workshop,#CC99FF|#F7931E|#FF69B4,"['11:00', '11:15', '11:30', '11:45']"
Gundam Building - Intermediate,"('Sheraton', 'Panel Gardner')",4.0,Arts and Crafting|Workshop,#CC99FF|#F7931E,"['12:30', '12:45', '13:00', '13:15']"
HIDIVE Presents Is It Wrong to Try to Pick Up Girls in a Dungeon? 10th Anniversary Dub Panel,"('Sheraton', 'Panel Republic')",3.0,Industry Content,#55ED99,"['17:30', '17:45', '18:00', '18:15']"
HIDIVE Presents Rock is a Lady’s Modesty Special Screening Eps 1 & 2 ,"('Hynes', 'Video 210')",4.0,Video,#66A3D2,"['12:30', '12:45', '13:00', '13:15']"
Hentai AMV Extravaganza!,"('Hynes', 'Ballroom B')",9.0,Video,#66A3D2,"['23:45', '00:00', '00:15', '00:30', '00:45', '01:00', '01:15', '01:30', '01:45']"
Husbandos and Himbos: Otome Games and You!,"('Hynes', 'Panel 202')",7.5,Fan Content,#FF69B4,"['12:00', '12:15', '12:30', '12:45']"
"I'm not OLD, But My Knees ARE Creaking (2015)","('Hynes', 'Fan Creations 312')",7.0,Video,#66A3D2,"['16:45', '17:00', '17:15', '17:30']"
ID Check Seating,"('Hynes', 'Ballroom B')",0.0,ID Check|Seating,#999999|#CCCCCC,"['19:30', '19:45', '23:15', '23:30']"
ID Check Seating,"('Hynes', 'Events 302')",0.0,ID Check|Seating,#999999|#CCCCCC,"['22:00', '22:15', '23:30', '23:45']"
ID Check Seating,"('Hynes', 'Fan Creations 312')",0.0,ID Check|Seating,#999999|#CCCCCC,['23:15']
ID Check Seating,"('Hynes', 'Panel 207')",0.0,ID Check|Seating,#999999|#CCCCCC,"['21:00', '21:15', '22:30', '22:45']"
ID Check Seating,"('Hynes', 'Panel 208')",0.0,ID Check|Seating,#999999|#CCCCCC,"['20:00', '20:15', '21:30', '21:45']"
ID Check Seating,"('Hynes', 'Panel 309')",0.0,ID Check|Seating,#999999|#CCCCCC,"['19:00', '19:15', '21:00', '21:15', '22:30', '22:45', '00:00', '00:15']"
ID Check Seating,"('Hynes', 'Social 110')",0.0,ID Check|Seating,#999999|#CCCCCC,"['13:00', '13:15', '14:30', '14:45', '19:00', '19:15', '20:30', '20:45']"
ID Check Seating,"('Hynes', 'Social 111')",0.0,ID Check|Seating,#999999|#CCCCCC,"['13:30', '13:45', '15:00', '15:15', '19:30', '19:45', '21:00', '21:15']"
ID Check Seating,"('Sheraton', 'Panel Constitution B')",0.0,ID Check|Seating,#999999|#CCCCCC,"['20:30', '20:45', '22:00', '22:15']"
ID Check Seating,"('Sheraton', 'Panel Republic')",0.0,ID Check|Seating,#999999|#CCCCCC,"['21:30', '21:45']"
ID Check Seating,"('Sheraton', 'Workshop Fairfax')",0.0,ID Check|Seating,#999999|#CCCCCC,"['11:00', '11:15']"
In Character Contest - Finals,"('Hynes', 'Memorial Auditorium')",7.0,Cosplay,#CC99FF,"['14:00', '14:15', '14:30', '14:45']"
Ironmouse Q & A Live,"('Hynes', 'Ballroom B')",5.0,Idols and VTubers,#CCFFFF,"['14:00', '14:15', '14:30', '14:45']"
It's Okay to Make Bad Art — The Art of Sucking,"('Hynes', 'Panel 202')",5.5,Partner Content,#FF69B4,"['22:30', '22:45', '23:00', '23:15']"
J-Music and K-Music in AMVs,"('Hynes', 'Fan Creations 312')",5.0,Music,#CCFFFF,"['09:00', '09:15', '09:30', '09:45']"
JET – Japanese Exchange and Teaching Program Information Session,"('Hynes', 'Panel 310')",5.0,Travel,#CCFFCC,"['11:00', '11:15', '11:30', '11:45']"
Jam Zone: Cocolia,"('Sheraton', 'Panel Republic')",6.0,Music,#CCFFFF,"['09:30', '09:45', '10:00', '10:15']"
Jam Zone: Cometa,"('Sheraton', 'Panel Republic')",6.0,Music,#CCFFFF,"['13:30', '13:45', '14:00', '14:15']"
Jam Zone: Violinist Prince,"('Sheraton', 'Panel Republic')",6.0,Music,#CCFFFF,"['11:30', '11:45', '12:00', '12:15']"
Japan in the 1920s: An Overview,"('Sheraton', 'Panel Gardner')",3.0,Panel,#72B7ED,"['17:00', '17:15', '17:30', '17:45']"
"Japanese Commercials to Make You Laugh, Cry, and Think","('Sheraton', 'Panel Constitution B')",8.0,Panel,#72B7ED,"['16:30', '16:45', '17:00', '17:15']"
Japanese Pro Wrestling,"('Sheraton', 'Panel Gardner')",6.0,Sports,#CCFFCC,"['21:30', '21:45', '22:00', '22:15']"
JoJo's Bizarre Adventures Gathering,"('Hynes', 'Ballroom A')",4.0,Social Gatherings,#FF3366,"['11:30', '11:45', '12:00', '12:15']"
K-Pop Random Dance Game,"('Hynes', 'Ballroom A')",5.0,Social Event,#F7931E,"['17:30', '17:45', '18:00', '18:15']"
K-Pop Time!,"('Hynes', 'Ballroom A')",2.0,Music,#CCFFFF,"['16:00', '16:15', '16:30', '16:45']"
Learn to Play: Weiss Schwarz TCG,"('Sheraton', 'Panel Gardner')",3.0,Fan Content,#FF69B4,"['18:30', '18:45', '19:00', '19:15']"
Let'$ Bead Inu Yasha's GLOW Necklace!,"('Sheraton', 'Workshop Fairfax')",7.0,Arts and Crafting,#CC99FF,"['13:30', '13:45', '14:00', '14:15', '14:30', '14:45', '15:00', '15:15']"
Let's $ew! Fat Rattling Frogs!,"('Sheraton', 'Workshop Fairfax')",2.0,Workshop,#F7931E,"['15:30', '15:45', '16:00', '16:15', '16:30', '16:45', '17:00', '17:15']"
Let's $ew! Pickles!,"('Sheraton', 'Workshop Fairfax')",2.0,Arts and Crafting,#CC99FF,"['17:30', '17:45', '18:00', '18:15', '18:30', '18:45', '19:00', '19:15']"
Let's get this bread: Baking in Japan,"('Hynes', 'Panel 310')",6.0,Fan Content,#FF69B4,"['17:30', '17:45', '18:00', '18:15']"
Lip Sync Battle,"('Sheraton', 'Grand Ballroom')",6.0,Stage Show,#AFE1F1,"['09:30', '09:45', '10:00', '10:15', '10:30', '10:45', '11:00', '11:15']"
Lolita and J-Fashion Show,"('Hynes', 'Events 302')",2.0,Family Friendly,#A64FF7,"['12:30', '12:45', '13:00', '13:15', '13:30', '13:45']"
Lunchtime!,"('Hynes', 'Fan Creations 312')",8.5,Fan Creations,#CCFF66,"['11:00', '11:15', '11:30', '11:45']"
Mada Mada Dane! 70 Years of Sports Manga and Anime ,"('Hynes', 'Panel 309')",2.0,Sports,#CCFFCC,"['09:00', '09:15', '09:30', '09:45']"
Magic Knights at the Mic: Asta and Noelle of Black Clover English VA Q&A ,"('Sheraton', 'Panel Constitution B')",2.0,Panel,#72B7ED,"['15:00', '15:15', '15:30', '15:45']"
Maid Cafe Live Show,"('Hynes', 'Events 302')",6.0,Family Friendly,#A64FF7,"['20:30', '20:45', '21:00', '21:15']"
Majik Mystery PIN BRAWL!,"('Sheraton', 'Workshop Fairfax')",2.0,Workshop,#F7931E,"['19:30', '19:45', '20:00', '20:15', '20:30', '20:45', '21:00', '21:15']"
Make a Visual Novel! Intro to Renpy,"('Hynes', 'Panel 202')",5.0,Panel,#72B7ED,"['16:30', '16:45', '17:00', '17:15']"
Making Video Games in 2025,"('Sheraton', 'Panel Constitution A')",5.0,Fan Content,#FF69B4,"['22:00', '22:15', '22:30', '22:45']"
Masquerade,"('Hynes', 'Memorial Auditorium')",5.0,Family Friendly,#A64FF7,"['17:00', '17:15', '17:30', '17:45', '18:00', '18:15', '18:30', '18:45', '19:00', '19:15', '19:30', '19:45']"
Moving Pictures: Manga Music Videos,"('Hynes', 'Fan Creations 312')",4.0,Fan Creations,#CCFF66,"['15:45', '16:00', '16:15', '16:30']"
My Hero Academia Gathering,"('Hynes', 'Ballroom A')",5.0,Social Gatherings,#FF3366,"['13:30', '13:45', '14:00', '14:15']"
"New Genesis, New Century: the Untold Story of Evangelion ","('Sheraton', 'Panel Constitution A')",6.0,Fan Content,#FF69B4,"['17:30', '17:45', '18:00', '18:15']"
Objection! A Celebration of Ace Attorney / Phoenix Wright,"('Hynes', 'Panel 207')",6.0,Panel,#72B7ED,"['14:00', '14:15', '14:30', '14:45']"
On Anime and AI: A Discussion with Hirokatsu Kihara,"('Sheraton', 'Grand Ballroom')",10.0,Panel,#72B7ED,"['17:30', '17:45', '18:00', '18:15']"
One Piece Gathering,"('Hynes', 'Ballroom A')",2.0,Social Gatherings,#FF3366,"['12:30', '12:45', '13:00', '13:15']"
Openings After Dark,"('Hynes', 'Panel 207')",2.0,After Dark,#F44336,"['23:00', '23:15', '23:30', '23:45']"
Otakus Unite!: Anime Club Starter Kit,"('Sheraton', 'Panel Gardner')",2.0,Panel,#72B7ED,"['15:30', '15:45', '16:00', '16:15']"
Plus Size Lolita Fashion,"('Hynes', 'Panel 202')",2.0,Panel,#72B7ED,"['18:00', '18:15', '18:30', '18:45']"
Pokémon Trainer Academy ,"('Hynes', 'Panel 310')",2.0,Gameshow,#72B7ED,"['15:30', '15:45', '16:00', '16:15', '16:30', '16:45']"
Post-War Japanese Literature and the Global West,"('Hynes', 'Panel 202')",2.0,Panel,#72B7ED,"['10:30', '10:45', '11:00', '11:15']"
Q & A With Kana Ichinose,"('Sheraton', 'Panel Constitution A')",5.0,Guest Content,#00FF00,"['14:30', '14:45', '15:00', '15:15']"
RAWR!!! Go Go Godzilla...'s  History with Pacific Asia Relations???,"('Hynes', 'Panel 310')",4.0,Panel,#72B7ED,"['19:00', '19:15', '19:30', '19:45']"
Ramen: A History and Deep Dive,"('Sheraton', 'Panel Constitution B')",6.5,Fan Content,#FF69B4,"['09:00', '09:15', '09:30', '09:45']"
Rap-Attack,"('Hynes', 'Fan Creations 312')",3.0,18+,#F44336,"['23:30', '23:45', '00:00', '00:15']"
Rebuilding the Millennium Puzzle: Yu-Gi-Oh Duel Monsters History,"('Hynes', 'Panel 310')",5.5,Fan Content,#FF69B4,"['12:30', '12:45', '13:00', '13:15']"
Remembering Akira Toriyama,"('Hynes', 'Fan Creations 312')",2.0,Fan Creations,#CCFF66,"['17:45', '18:00']"
Reol Q&A ,"('Sheraton', 'Panel Constitution B')",4.0,Guest Content,#00FF00,"['13:30', '13:45', '14:00', '14:15']"
Saturday Evening Fan Parodies,"('Hynes', 'Fan Creations 312')",6.5,Video,#66A3D2,"['18:15', '18:30', '18:45', '19:00']"
Sketchbook Swap,"('Sheraton', 'Workshop Fairfax')",6.5,Social Event|Workshop,#F7931E,"['22:00', '22:15', '22:30', '22:45']"
Slumber Party,"('Hynes', 'Ballroom A')",0.0,Family Friendly|Social Event,#A64FF7|#F7931E,"['23:00', '23:15', '23:30', '23:45', '00:00', '00:15', '00:30', '00:45', '01:00', '01:15']"
Speed Friending,"('Hynes', 'Social 110')",5.5,Social Event|18+,#F7931E|#F44336,"['13:30', '13:45', '14:00', '14:15', '15:00', '15:15', '15:30', '15:45', '19:30', '19:45', '20:00', '20:15', '21:00', '21:15', '21:30', '21:45']"
Speed Friending,"('Hynes', 'Social 111')",5.5,Social Event|18+,#F7931E|#F44336,"['14:00', '14:15', '14:30', '14:45', '15:30', '15:45', '16:00', '16:15', '20:00', '20:15', '20:30', '20:45', '21:30', '21:45', '22:00', '22:15']"
"Straight? Yaoi? Yuri? I See No Difference, Ships Are Ships!","('Hynes', 'Panel 310')",6.0,Representation,#00FFFF,"['22:00', '22:15', '22:30', '22:45']"
Sustainability in Cosplay,"('Hynes', 'Panel 309')",2.0,Panel,#72B7ED,"['15:00', '15:15', '15:30', '15:45']"
Swap Meet,"('Hynes', 'Ballroom A')",5.0,Activity,#F7931E,"['19:30', '19:45', '20:00', '20:15', '20:30', '20:45', '21:00', '21:15']"
Taiko Drum Concert,"('Sheraton', 'Grand Ballroom')",9.5,Family Friendly,#A64FF7,"['15:30', '15:45', '16:00', '16:15']"
Tenjo Tenge (18+),"('Hynes', 'Video 210')",4.0,18+,#F44336,"['22:00', '22:15', '22:30', '22:45', '23:00', '23:15', '23:30', '23:45']"
Tentacle Fanfic Theater,"('Sheraton', 'Panel Republic')",2.0,18+,#F44336,"['22:00', '22:15', '22:30', '22:45', '23:00', '23:15', '23:30', '23:45']"
Terrorism in Anime,"('Sheraton', 'Panel Constitution B')",2.0,Panel,#72B7ED,"['22:30', '22:45', '23:00', '23:15', '23:30', '23:45']"
"The Cosmic Horror of Games, Anime, & Manga","('Hynes', 'Panel 207')",4.0,Fan Content,#FF69B4,"['18:30', '18:45', '19:00', '19:15']"
The Female Gaze in Anime,"('Hynes', 'Panel 202')",2.0,Fan Content,#FF69B4,"['21:00', '21:15', '21:30', '21:45']"
The Heretic Artists of Great Japan: A History of Visual Kei,"('Sheraton', 'Panel Gardner')",2.0,History,#CCFFCC,"['20:00', '20:15', '20:30', '20:45']"
The Insomniac's Guide to Vampire Anime,"('Hynes', 'Panel 208')",2.0,Fan Content,#FF69B4,"['11:30', '11:45', '12:00', '12:15']"
The Power of Music in Liz & The Blue Bird,"('Hynes', 'Panel 202')",4.0,Fan Content,#FF69B4,"['09:00', '09:15', '09:30', '09:45']"
The Reversal of Male Archetypes in Anime,"('Hynes', 'Panel 207')",4.0,Fan Content,#FF69B4,"['20:00', '20:15', '20:30', '20:45']"
The Weakest Weeb (Weakest Link Parody Game),"('Hynes', 'Panel 309')",3.0,Fan Content,#FF69B4,"['10:30', '10:45', '11:00', '11:15']"
The Wonderful World of Puss & Boots,"('Hynes', 'Video 210')",5.0,Family Friendly,#A64FF7,"['08:00', '08:15', '08:30', '08:45', '09:00', '09:15', '09:30', '09:45']"
The World is Still Beautiful,"('Hynes', 'Video 210')",4.0,Video,#66A3D2,"['14:00', '14:15', '14:30', '14:45', '15:00', '15:15', '15:30', '15:45']"
Three Ways of Looking at a Heron: A Miyazaki Analysis,"('Sheraton', 'Panel Constitution B')",2.0,Fan Content,#FF69B4,"['18:00', '18:15', '18:30', '18:45']"
Twelve Kingdoms,"('Hynes', 'Video 210')",3.0,Video,#66A3D2,"['16:00', '16:15', '16:30', '16:45', '17:00', '17:15', '17:30', '17:45']"
"Twenty-Five Years Of ""Bad Anime, Bad!!""","('Sheraton', 'Grand Ballroom')",2.0,Panel,#72B7ED,"['21:30', '21:45', '22:00', '22:15', '22:30', '22:45', '23:00', '23:15', '23:30', '23:45']"
Voices of Mashle,"('Sheraton', 'Panel Constitution B')",5.0,Guest Content,#00FF00,"['12:00', '12:15', '12:30', '12:45']"
What's that Anime Sound? A Look Into the Music Theory of J-pop,"('Sheraton', 'Panel Constitution A')",5.5,Fan Content,#FF69B4,"['10:00', '10:15', '10:30', '10:45']"
Your Favorite Anime Didn’t Make Itself: The Process Explained,"('Hynes', 'Panel 310')",3.0,Panel,#72B7ED,"['20:30', '20:45', '21:00', '21:15']"
Yuriko Yamaguchi Q&A,"('Sheraton', 'Panel Constitution A')",2.0,Panel,#72B7ED,"['13:00', '13:15', '13:30', '13:45']"
hololive Meet SUPER KARAOKE PARTY,"('Hynes', 'Ballroom B')",2.0,Concert,#AFE1F1,"['18:00', '18:15', '18:30', '18:45', '19:00', '19:15']"
